id,component_type,last_synced_at,source_file_version,status
1,SystemConfig,2024-08-16 14:47:53.514437+00:00,v0.0.0,complete
2,Cycle,2024-08-16 14:47:53.734309+00:00,v0.0.0,complete
3,Group,2024-08-16 14:47:53.938074+00:00,v0.0.0,complete
4,Dataset,2024-08-16 14:47:54.369960+00:00,v0.0.0,complete
5,DatasetCycle,2024-08-16 14:48:00.058800+00:00,v0.0.0,complete
6,Variable,2024-08-16 14:47:54.695694+00:00,v0.0.0,complete
7,VariableCycle,2024-08-16 14:47:54.984881+00:00,v0.0.0,complete
8,Field,2024-08-16 14:48:00.320503+00:00,v0.0.0,complete
9,NormalizationRule,2024-08-16 14:48:00.516219+00:00,v0.0.0,complete
10,QueryColumns,2024-08-16 14:48:00.761408+00:00,v0.0.0,complete
