id,datasetcycle_id,is_download,status,last_synced_at,source_file_version,source_file_size,system_version,time_download,time,records,n_samples,n_variables,cycle,dataset
1,1,False,pending,2024-09-02 01:01:55.895985+00:00,,0,0.0.4,0,0,0,0,0,1999-2000,DEMO
2,2,False,pending,2024-09-02 01:01:55.902433+00:00,,0,0.0.4,0,0,0,0,0,2001-2002,DEMO
3,3,False,pending,2024-09-02 01:01:55.944006+00:00,,0,0.0.4,0,0,0,0,0,2003-2004,DEMO
4,4,False,pending,2024-09-02 01:01:55.947389+00:00,,0,0.0.4,0,0,0,0,0,2005-2006,DEMO
5,5,False,pending,2024-09-02 01:01:55.950037+00:00,,0,0.0.4,0,0,0,0,0,2007-2008,DEMO
6,6,False,pending,2024-09-02 01:01:55.952858+00:00,,0,0.0.4,0,0,0,0,0,2009-2010,DEMO
7,7,False,pending,2024-09-02 01:01:55.955779+00:00,,0,0.0.4,0,0,0,0,0,2011-2012,DEMO
8,8,False,pending,2024-09-02 01:01:55.958648+00:00,,0,0.0.4,0,0,0,0,0,2013-2014,DEMO
9,9,True,complete,2024-09-02 01:16:10.680808+00:00,v.0,3756480,0.0.4,0,91,9971,9971,0,2015-2016,DEMO
10,10,True,complete,2024-09-02 01:17:32.510030+00:00,v.0,3412720,0.0.4,0,81,9254,9254,0,2017-2018,DEMO
11,11,False,standby,2024-09-02 01:01:55.967956+00:00,,0,0.0.4,0,0,0,0,0,1999-2000,HDL
12,12,False,standby,2024-09-02 01:01:55.970460+00:00,,0,0.0.4,0,0,0,0,0,2001-2002,HDL
13,13,False,standby,2024-09-02 01:01:55.973146+00:00,,0,0.0.4,0,0,0,0,0,2003-2004,HDL
14,14,False,pending,2024-09-02 01:01:55.976294+00:00,,0,0.0.4,0,0,0,0,0,2005-2006,HDL
15,15,False,pending,2024-09-02 01:01:55.979305+00:00,,0,0.0.4,0,0,0,0,0,2007-2008,HDL
16,16,False,pending,2024-09-02 01:01:55.982206+00:00,,0,0.0.4,0,0,0,0,0,2009-2010,HDL
17,17,False,pending,2024-09-02 01:01:55.984747+00:00,,0,0.0.4,0,0,0,0,0,2011-2012,HDL
18,18,False,pending,2024-09-02 01:01:55.986997+00:00,,0,0.0.4,0,0,0,0,0,2013-2014,HDL
19,19,False,pending,2024-09-02 01:01:55.989715+00:00,,0,0.0.4,0,0,0,0,0,2015-2016,HDL
20,20,False,pending,2024-09-02 01:01:55.992534+00:00,,0,0.0.4,0,0,0,0,0,2017-2018,HDL
21,21,False,standby,2024-09-02 01:01:55.995399+00:00,,0,0.0.4,0,0,0,0,0,1999-2000,TRIGLY
22,22,False,standby,2024-09-02 01:01:55.998487+00:00,,0,0.0.4,0,0,0,0,0,2001-2002,TRIGLY
23,23,False,standby,2024-09-02 01:01:56.000805+00:00,,0,0.0.4,0,0,0,0,0,2003-2004,TRIGLY
24,24,False,pending,2024-09-02 01:01:56.002920+00:00,,0,0.0.4,0,0,0,0,0,2005-2006,TRIGLY
25,25,False,pending,2024-09-02 01:01:56.005300+00:00,,0,0.0.4,0,0,0,0,0,2007-2008,TRIGLY
26,26,False,pending,2024-09-02 01:01:56.007789+00:00,,0,0.0.4,0,0,0,0,0,2009-2010,TRIGLY
27,27,False,pending,2024-09-02 01:01:56.010274+00:00,,0,0.0.4,0,0,0,0,0,2011-2012,TRIGLY
28,28,False,pending,2024-09-02 01:01:56.013299+00:00,,0,0.0.4,0,0,0,0,0,2013-2014,TRIGLY
29,29,False,pending,2024-09-02 01:01:56.016144+00:00,,0,0.0.4,0,0,0,0,0,2015-2016,TRIGLY
30,30,False,pending,2024-09-02 01:01:56.018756+00:00,,0,0.0.4,0,0,0,0,0,2017-2018,TRIGLY
31,31,False,standby,2024-09-02 01:01:56.021032+00:00,,0,0.0.4,0,0,0,0,0,1999-2000,TCHOL
32,32,False,standby,2024-09-02 01:01:56.023821+00:00,,0,0.0.4,0,0,0,0,0,2001-2002,TCHOL
33,33,False,standby,2024-09-02 01:01:56.026116+00:00,,0,0.0.4,0,0,0,0,0,2003-2004,TCHOL
34,34,False,pending,2024-09-02 01:01:56.030069+00:00,,0,0.0.4,0,0,0,0,0,2005-2006,TCHOL
