id,datasetcycle_id,is_download,status,last_synced_at,source_file_version,source_file_size,system_version,time_download,time,records,n_samples,n_variables,cycle,dataset
1,1,False,pending,2024-08-26 19:09:59.990636+00:00,v.0,11500560,0.0.4,0,334,9965,9965,0,1999-2000,DEMO
2,2,False,pending,2024-08-26 19:11:22.390476+00:00,v.0,3273520,0.0.4,0,82,11039,11039,0,2001-2002,DEMO
3,3,False,pending,2024-08-26 19:12:53.151020+00:00,v.0,3569840,0.0.4,0,90,10122,10122,0,2003-2004,DEMO
4,4,False,pending,2024-08-26 19:14:23.834674+00:00,v.0,3566560,0.0.4,0,90,10348,10348,0,2005-2006,DEMO
5,5,False,pending,2024-08-26 19:15:52.464054+00:00,v.0,3498080,0.0.4,0,88,10149,10149,0,2007-2008,DEMO
6,6,False,pending,2024-08-26 19:17:24.061644+00:00,v.0,3631600,0.0.4,0,91,10537,10537,0,2009-2010,DEMO
7,7,False,pending,2024-08-26 19:19:00.158130+00:00,v.0,3753760,0.0.4,0,96,9756,9756,0,2011-2012,DEMO
8,8,False,pending,2024-08-26 19:20:38.129436+00:00,v.0,3833200,0.0.4,0,97,10175,10175,0,2013-2014,DEMO
9,9,False,pending,2024-08-26 20:01:16.593453+00:00,v.0,3756480,0.0.4,0,128,9971,9971,0,2015-2016,DEMO
10,10,False,pending,2024-08-26 15:25:29.365367+00:00,v.0,3412720,0.0.4,0,206,9254,9254,0,2017-2018,DEMO
11,11,False,no_file,2024-08-30 01:18:25.393403+00:00,,0,0.0.4,0,0,0,0,0,1999-2000,HDL
12,12,False,no_file,2024-08-30 01:18:26.353805+00:00,,0,0.0.4,0,0,0,0,0,2001-2002,HDL
13,13,False,no_file,2024-08-30 01:18:26.955344+00:00,,0,0.0.4,0,0,0,0,0,2003-2004,HDL
14,14,False,pending,2024-08-30 16:23:42.328626+00:00,v.0,195280,0.0.4,0,1,8086,8086,0,2005-2006,HDL
15,15,False,pending,2024-08-30 16:23:44.688451+00:00,v.0,196400,0.0.4,0,2,8132,8132,0,2007-2008,HDL
16,16,False,pending,2024-08-30 16:23:46.364920+00:00,v.0,207440,0.0.4,0,1,8591,8591,0,2009-2010,HDL
17,17,False,pending,2024-08-30 16:23:48.724771+00:00,v.0,188960,0.0.4,0,2,7821,7821,0,2011-2012,HDL
18,18,False,pending,2024-08-30 18:33:31.908058+00:00,v.0,200240,0.0.4,0,1,8291,8291,0,2013-2014,HDL
19,19,False,pending,2024-08-30 16:23:53.294157+00:00,v.0,193760,0.0.4,0,2,8021,8021,0,2015-2016,HDL
20,20,False,pending,2024-08-30 16:23:55.110806+00:00,v.0,179680,0.0.4,0,1,7435,7435,0,2017-2018,HDL
21,21,False,no_file,2024-08-30 01:18:27.681858+00:00,,0,0.0.4,0,0,0,0,0,1999-2000,TRIGLY
22,22,False,no_file,2024-08-30 01:18:28.372297+00:00,,0,0.0.4,0,0,0,0,0,2001-2002,TRIGLY
23,23,False,no_file,2024-08-30 01:18:28.808681+00:00,,0,0.0.4,0,0,0,0,0,2003-2004,TRIGLY
24,24,False,pending,2024-08-30 16:23:57.572447+00:00,v.0,216400,0.0.4,0,2,3352,3352,0,2005-2006,TRIGLY
25,25,False,pending,2024-08-30 16:23:59.577382+00:00,v.0,160720,0.0.4,0,1,3315,3315,0,2007-2008,TRIGLY
26,26,False,pending,2024-08-30 16:24:01.626646+00:00,v.0,173520,0.0.4,0,2,3581,3581,0,2009-2010,TRIGLY
27,27,False,pending,2024-08-30 16:24:03.811260+00:00,v.0,157120,0.0.4,0,2,3239,3239,0,2011-2012,TRIGLY
28,28,False,error,2024-08-30 18:33:33.123983+00:00,,0,0.0.4,0,0,0,0,0,2013-2014,TRIGLY
29,29,False,pending,2024-08-30 16:24:07.884933+00:00,v.0,154800,0.0.4,0,2,3191,3191,0,2015-2016,TRIGLY
30,30,False,pending,2024-08-30 16:24:09.532257+00:00,v.0,245040,0.0.4,0,1,3036,3036,0,2017-2018,TRIGLY
31,31,False,no_file,2024-08-30 01:18:29.443015+00:00,,0,0.0.4,0,0,0,0,0,1999-2000,TCHOL
32,32,False,no_file,2024-08-30 01:18:30.424672+00:00,,0,0.0.4,0,0,0,0,0,2001-2002,TCHOL
33,33,False,no_file,2024-08-30 01:51:35.863281+00:00,,0,0.0.4,0,0,0,0,0,2003-2004,TCHOL
34,34,False,pending,2024-08-30 16:24:11.246464+00:00,v.0,195280,0.0.4,0,1,8086,8086,0,2005-2006,TCHOL
35,35,False,pending,2024-08-30 16:24:13.320117+00:00,v.0,196400,0.0.4,0,2,8132,8132,0,2007-2008,TCHOL
36,36,False,pending,2024-08-30 16:24:15.203976+00:00,v.0,207440,0.0.4,0,1,8591,8591,0,2009-2010,TCHOL
37,37,False,pending,2024-08-30 16:24:17.764907+00:00,v.0,188960,0.0.4,0,2,7821,7821,0,2011-2012,TCHOL
38,38,False,pending,2024-08-30 16:24:19.808699+00:00,v.0,200240,0.0.4,0,2,8291,8291,0,2013-2014,TCHOL
39,39,False,pending,2024-08-30 18:33:34.704374+00:00,v.0,193760,0.0.4,0,1,8021,8021,0,2015-2016,TCHOL
40,40,False,pending,2024-08-30 16:24:23.774383+00:00,v.0,179680,0.0.4,0,2,7435,7435,0,2017-2018,TCHOL
41,41,False,pending,2024-08-30 16:24:25.828557+00:00,v.0,221040,0.0.4,0,2,3915,3915,0,1999-2000,LAB13AM
42,42,False,no_file,2024-08-30 01:18:31.636079+00:00,,0,0.0.4,0,0,0,0,0,2001-2002,LAB13AM
43,43,False,no_file,2024-08-30 01:18:32.942701+00:00,,0,0.0.4,0,0,0,0,0,2003-2004,LAB13AM
44,44,False,no_file,2024-08-30 01:18:34.273513+00:00,,0,0.0.4,0,0,0,0,0,2005-2006,LAB13AM
45,45,False,no_file,2024-08-30 01:18:35.194044+00:00,,0,0.0.4,0,0,0,0,0,2007-2008,LAB13AM
46,46,False,no_file,2024-08-30 01:18:35.525086+00:00,,0,0.0.4,0,0,0,0,0,2009-2010,LAB13AM
47,47,False,no_file,2024-08-30 01:18:36.235344+00:00,,0,0.0.4,0,0,0,0,0,2011-2012,LAB13AM
48,48,False,no_file,2024-08-30 01:18:36.873334+00:00,,0,0.0.4,0,0,0,0,0,2013-2014,LAB13AM
49,49,False,no_file,2024-08-30 01:18:38.068993+00:00,,0,0.0.4,0,0,0,0,0,2015-2016,LAB13AM
50,50,False,no_file,2024-08-30 01:18:38.776008+00:00,,0,0.0.4,0,0,0,0,0,2017-2018,LAB13AM
51,51,False,no_file,2024-08-30 01:18:39.254038+00:00,,0,0.0.4,0,0,0,0,0,1999-2000,DR1IFF
52,52,False,no_file,2024-08-30 01:18:39.572290+00:00,,0,0.0.4,0,0,0,0,0,2001-2002,DR1IFF
53,53,False,pending,2024-08-30 16:25:53.841603+00:00,v.0,86055840,0.0.4,0,88,131164,131164,0,2003-2004,DR1IFF
54,54,False,pending,2024-08-30 16:27:29.800086+00:00,v.0,97580560,0.0.4,0,95,146940,146940,0,2005-2006,DR1IFF
55,55,False,pending,2024-08-30 16:28:59.957709+00:00,v.0,99090720,0.0.4,0,90,145703,145703,0,2007-2008,DR1IFF
56,56,False,pending,2024-08-30 16:30:51.792116+00:00,v.0,102686560,0.0.4,0,111,150991,150991,0,2009-2010,DR1IFF
57,57,False,pending,2024-08-30 16:32:13.863941+00:00,v.0,86034720,0.0.4,0,82,126503,126503,0,2011-2012,DR1IFF
58,58,False,pending,2024-08-30 16:33:36.485602+00:00,v.0,88309280,0.0.4,0,82,131394,131394,0,2013-2014,DR1IFF
59,59,False,pending,2024-08-30 16:34:56.340245+00:00,v.0,81647760,0.0.4,0,79,121481,121481,0,2015-2016,DR1IFF
60,60,False,pending,2024-08-30 16:36:10.929041+00:00,v.0,75735520,0.0.4,0,74,112683,112683,0,2017-2018,DR1IFF
61,61,False,no_file,2024-08-30 01:18:40.250904+00:00,,0,0.0.4,0,0,0,0,0,1999-2000,DR2IFF
